@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'rg/projectmaxs/shared/module/MAXSModuleIntentService/onCreate()','java/lang/Class/forName(java.lang.String) java/lang/Integer/intValue() android/os/HandlerThread/HandlerThread(java.lang.String) org/projectmaxs/shared/module/MAXSModuleIntentService/getString(int) org/projectmaxs/shared/module/MAXSModuleIntentService/getPackageName() java/lang/StringBuilder/StringBuilder() android/os/HandlerThread/getLooper() android/app/Service/onCreate() java/lang/StringBuilder/toString() java/lang/Class/getField(java.lang.String) java/lang/reflect/Field/get(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) android/os/HandlerThread/start('
'rg/sufficientlysecure/rootcommands/Toolbox$PsCommand/output(int,java.lang.String)','java/util/regex/Matcher/group(int) java/lang/StringBuilder/append(java.lang.String) java/util/ArrayList/add(java.lang.Object) java/lang/StringBuilder/StringBuilder() java/util/regex/Matcher/find() java/lang/String/contains(java.lang.CharSequence) java/util/regex/Pattern/matcher(java.lang.CharSequence) java/lang/StringBuilder/toString() java/util/logging/Logger/log(java.util.logging.Level,java.lang.String) java/util/logging/Logger/log(java.util.logging.Level,java.lang.String,java.lang.Throwable'
'rg/projectmaxs/shared/global/aidl/IMAXSIncomingFileTransferService$Stub/onTransact(int,android.os.Parcel,android.os.Parcel,int)','android/os/ParcelFileDescriptor/writeToParcel(android.os.Parcel,int) android/os/Parcel/writeNoException() android/os/Parcel/writeString(java.lang.String) android/os/Parcel/writeInt(int) org/projectmaxs/shared/global/aidl/IMAXSIncomingFileTransferService$Stub/incomingFileTransfer(java.lang.String,long,java.lang.String) android/os/Parcel/readString() android/os/Binder/onTransact(int,android.os.Parcel,android.os.Parcel,int) android/os/Parcel/enforceInterface(java.lang.String) android/os/Parcel/readLong('
'rg/projectmaxs/shared/global/jul/JULHandler$1/format(java.util.logging.LogRecord)','java/lang/StringBuilder/append(java.lang.String) org/projectmaxs/shared/global/jul/JULHandler$1/formatMessage(java.util.logging.LogRecord) java/util/logging/LogRecord/getLevel() java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() java/util/logging/LogRecord/getThrown() java/lang/StringBuilder/StringBuilder() android/util/Log/getStackTraceString(java.lang.Throwable) java/lang/StringBuilder/append(char) java/util/logging/Level/intValue('
'rg/projectmaxs/shared/module/ContactUtil/contactsByName(java.lang.String)','android/net/Uri/encode(java.lang.String) java/util/ArrayList/ArrayList() android/content/ContentResolver/query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String) java/util/Collection/add(java.lang.Object) android/database/Cursor/getString(int) android/database/Cursor/moveToFirst() android/database/Cursor/getColumnIndexOrThrow(java.lang.String) android/database/Cursor/close() android/database/Cursor/moveToNext() android/net/Uri/withAppendedPath(android.net.Uri,java.lang.String) android/database/Cursor/isAfterLast('
'rg/projectmaxs/shared/module/ContactUtil/contactsByNumber(java.lang.String)','android/net/Uri/encode(java.lang.String) java/util/Map/put(java.lang.Object,java.lang.Object) java/util/Map/get(java.lang.Object) android/database/Cursor/moveToFirst() android/database/Cursor/getColumnIndexOrThrow(java.lang.String) android/database/Cursor/close() java/util/Map/values() java/util/HashMap/HashMap() android/content/ContentResolver/query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String) android/database/Cursor/getString(int) android/database/Cursor/moveToNext() android/net/Uri/withAppendedPath(android.net.Uri,java.lang.String) android/database/Cursor/isAfterLast('
'rg/projectmaxs/shared/module/ContactUtil/contactsByNickname(java.lang.String)','java/util/ArrayList/ArrayList() android/content/ContentResolver/query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String) java/util/Collection/add(java.lang.Object) android/database/Cursor/getString(int) android/database/Cursor/moveToFirst() android/database/Cursor/moveToNext() android/database/Cursor/getColumnIndexOrThrow(java.lang.String) android/database/Cursor/close() android/database/Cursor/isAfterLast('
'rg/projectmaxs/shared/global/util/FileUtil/getFileDir(android.content.Context,java.lang.String)','java/lang/IllegalStateException/IllegalStateException(java.lang.String) java/io/File/File(java.io.File,java.lang.String) java/io/File/isDirectory() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() java/io/File/mkdir() android/content/Context/getFilesDir('
'rg/projectmaxs/shared/global/aidl/IFileReadModuleService$Stub/onTransact(int,android.os.Parcel,android.os.Parcel,int)','android/os/Parcel/writeNoException() android/os/Parcel/writeString(java.lang.String) android/os/Parcel/writeInt(int) org/projectmaxs/shared/global/aidl/IFileReadModuleService$Stub/isFile(java.lang.String) org/projectmaxs/shared/global/aidl/IFileReadModuleService$Stub/readFileBytes(java.lang.String) android/os/Parcel/readString() android/os/Parcel/writeByteArray(byte[]) android/os/Binder/onTransact(int,android.os.Parcel,android.os.Parcel,int) android/os/Parcel/enforceInterface(java.lang.String'
'rg/projectmaxs/shared/global/CrossProcessCursorWrapper/cursorFillWindow(android.database.Cursor,int,android.database.CursorWindow)','android/database/Cursor/getColumnCount() android/database/Cursor/getBlob(int) android/database/Cursor/getLong(int) java/lang/UnsupportedOperationException/UnsupportedOperationException(java.lang.String) android/database/Cursor/getPosition() android/database/Cursor/getCount() android/database/CursorWindow/putString(java.lang.String,int,int) android/database/Cursor/moveToNext() android/database/CursorWindow/putBlob(byte[],int,int) android/database/Cursor/moveToPosition(int) android/database/Cursor/getType(int) android/database/CursorWindow/putDouble(double,int,int) android/database/CursorWindow/putLong(long,int,int) android/database/CursorWindow/clear() android/database/CursorWindow/allocRow() android/database/CursorWindow/setNumColumns(int) android/database/CursorWindow/putNull(int,int) android/database/Cursor/getString(int) android/database/Cursor/getDouble(int) android/database/CursorWindow/setStartPosition(int) android/database/CursorWindow/freeLastRow('
'rg/projectmaxs/shared/global/aidl/IMAXSOutgoingFileTransferService$Stub/onTransact(int,android.os.Parcel,android.os.Parcel,int)','android/os/ParcelFileDescriptor/writeToParcel(android.os.Parcel,int) org/projectmaxs/shared/global/aidl/IMAXSOutgoingFileTransferService$Stub/outgoingFileTransfer(java.lang.String,long,java.lang.String,java.lang.String) android/os/Parcel/writeNoException() android/os/Parcel/writeString(java.lang.String) android/os/Parcel/writeInt(int) android/os/Parcel/readString() android/os/Binder/onTransact(int,android.os.Parcel,android.os.Parcel,int) android/os/Parcel/enforceInterface(java.lang.String) android/os/Parcel/readLong('
'rg/projectmaxs/shared/global/aidl/IMAXSIncomingFileTransferService$Stub$Proxy/incomingFileTransfer(java.lang.String,long,java.lang.String)','android/os/Parcel/writeLong(long) android/os/Parcel/writeString(java.lang.String) android/os/Parcelable$Creator/createFromParcel(android.os.Parcel) android/os/Parcel/recycle() android/os/IBinder/transact(int,android.os.Parcel,android.os.Parcel,int) android/os/Parcel/writeInterfaceToken(java.lang.String) android/os/Parcel/obtain() android/os/Parcel/readInt() android/os/Parcel/readException('
